variable,coef,model
neighbourhood_cleansed_Barking and Dagenham,0.030917428314435384,Baseline_LR
neighbourhood_cleansed_Barnet,0.011069143883399567,Baseline_LR
neighbourhood_cleansed_Bexley,-0.013241939030592008,Baseline_LR
neighbourhood_cleansed_Brent,0.012879294572431157,Baseline_LR
neighbourhood_cleansed_Bromley,0.016763396379950224,Baseline_LR
neighbourhood_cleansed_Camden,0.031206707960992484,Baseline_LR
neighbourhood_cleansed_City of London,0.010811608044732295,Baseline_LR
neighbourhood_cleansed_Croydon,0.048114040090475985,Baseline_LR
neighbourhood_cleansed_Ealing,-0.0012839451486080333,Baseline_LR
neighbourhood_cleansed_Enfield,0.006775135742806412,Baseline_LR
neighbourhood_cleansed_Greenwich,0.02056816757764917,Baseline_LR
neighbourhood_cleansed_Hackney,-0.06935128321968718,Baseline_LR
neighbourhood_cleansed_Hammersmith and Fulham,-0.0010469340104175592,Baseline_LR
neighbourhood_cleansed_Haringey,-0.013763481481694852,Baseline_LR
neighbourhood_cleansed_Harrow,-0.03857752836606652,Baseline_LR
neighbourhood_cleansed_Havering,0.029128385735356595,Baseline_LR
neighbourhood_cleansed_Hillingdon,-0.00579358065405818,Baseline_LR
neighbourhood_cleansed_Hounslow,0.031029778610434135,Baseline_LR
neighbourhood_cleansed_Islington,-0.027380309349582698,Baseline_LR
neighbourhood_cleansed_Kensington and Chelsea,0.027539166531443705,Baseline_LR
neighbourhood_cleansed_Kingston upon Thames,0.03092065903802843,Baseline_LR
neighbourhood_cleansed_Lambeth,0.0007693250481160383,Baseline_LR
neighbourhood_cleansed_Lewisham,-0.03045115492570558,Baseline_LR
neighbourhood_cleansed_Merton,-0.0278108349112743,Baseline_LR
neighbourhood_cleansed_Newham,0.023117502735212833,Baseline_LR
neighbourhood_cleansed_Redbridge,-0.008918962178959681,Baseline_LR
neighbourhood_cleansed_Richmond upon Thames,-0.027059339813342957,Baseline_LR
neighbourhood_cleansed_Southwark,-0.006873695990204963,Baseline_LR
neighbourhood_cleansed_Sutton,-0.03281564696990544,Baseline_LR
neighbourhood_cleansed_Tower Hamlets,-0.018500727572307935,Baseline_LR
neighbourhood_cleansed_Waltham Forest,-0.040310532115976835,Baseline_LR
neighbourhood_cleansed_Wandsworth,-0.03355108062001146,Baseline_LR
neighbourhood_cleansed_Westminster,0.06512123600910864,Baseline_LR
room_type_Entire home/apt,0.05928557317466509,Baseline_LR
room_type_Hotel room,-0.10193166944071988,Baseline_LR
room_type_Private room,0.01927064606854678,Baseline_LR
room_type_Shared room,0.02337545020827255,Baseline_LR
host_is_superhost_t,0.08895678320370719,Baseline_LR
instant_bookable_t,0.08899350396593941,Baseline_LR
name_sent,-0.017842665412168068,Baseline_LR
1,0.0,Baseline_LR
host_listings_count,0.03388167349891297,Baseline_LR
accommodates,0.042706782452549524,Baseline_LR
price,0.04075563081132366,Baseline_LR
minimum_nights,-0.01901272591301076,Baseline_LR
minimum_nights,-0.01901272591301076,Baseline_LR
number_of_reviews,0.6603274607115571,Baseline_LR
time_diff,0.10141664352795605,Baseline_LR
review_scores_rating,0.29777694596888776,Baseline_LR
host_listings_count^2,0.031097100235616862,Baseline_LR
host_listings_count accommodates,-0.005529712836995661,Baseline_LR
host_listings_count price,-0.03597923714887219,Baseline_LR
host_listings_count minimum_nights,-0.0005764539970505872,Baseline_LR
host_listings_count minimum_nights,-0.0005764539970505872,Baseline_LR
host_listings_count number_of_reviews,0.003436964490491802,Baseline_LR
host_listings_count time_diff,-0.0193035921147796,Baseline_LR
host_listings_count review_scores_rating,-0.011805963873088585,Baseline_LR
accommodates^2,-0.0023330796504693837,Baseline_LR
accommodates price,-0.013280875788537974,Baseline_LR
accommodates minimum_nights,0.0009625586743756634,Baseline_LR
accommodates minimum_nights,0.0009625586743756634,Baseline_LR
accommodates number_of_reviews,0.013591272281547053,Baseline_LR
accommodates time_diff,-0.0341824836722694,Baseline_LR
accommodates review_scores_rating,-0.012201239358191803,Baseline_LR
price^2,-0.02168561027001668,Baseline_LR
price minimum_nights,-0.0018748158731611158,Baseline_LR
price minimum_nights,-0.0018748158731611158,Baseline_LR
price number_of_reviews,0.007147502660348288,Baseline_LR
price time_diff,-0.011088710796505332,Baseline_LR
price review_scores_rating,0.008862464857948968,Baseline_LR
minimum_nights^2,0.012712094945687438,Baseline_LR
minimum_nights minimum_nights,0.012712094945687438,Baseline_LR
minimum_nights number_of_reviews,0.004668215316889515,Baseline_LR
minimum_nights time_diff,-0.01102443418762228,Baseline_LR
minimum_nights review_scores_rating,-0.0002988006423441862,Baseline_LR
minimum_nights^2,0.012712094945687438,Baseline_LR
minimum_nights number_of_reviews,0.004668215316889515,Baseline_LR
minimum_nights time_diff,-0.01102443418762228,Baseline_LR
minimum_nights review_scores_rating,-0.0002988006423441862,Baseline_LR
number_of_reviews^2,-0.20320773319919438,Baseline_LR
number_of_reviews time_diff,-0.3038242791445231,Baseline_LR
number_of_reviews review_scores_rating,0.012620132256590432,Baseline_LR
time_diff^2,-0.00737166734497833,Baseline_LR
time_diff review_scores_rating,0.028262938493951797,Baseline_LR
review_scores_rating^2,-0.23883676297199502,Baseline_LR
10,0.0700379372699285,Baseline_LR
100,0.024606637673036284,Baseline_LR
102,-0.12614585659585895,Baseline_LR
103,-0.17146576633382016,Baseline_LR
104,-0.006898755409059092,Baseline_LR
105,-0.42641452312838923,Baseline_LR
106,-0.18332231110111932,Baseline_LR
107,0.08123480982742401,Baseline_LR
108,-0.04932673883617807,Baseline_LR
109,-0.11319435835740774,Baseline_LR
11,-0.005458290572890941,Baseline_LR
110,0.08005914572527892,Baseline_LR
111,-0.1694256368765456,Baseline_LR
112,0.05289428285812276,Baseline_LR
113,-0.052303331135938165,Baseline_LR
114,-0.14174974230294576,Baseline_LR
12,0.012422515726492629,Baseline_LR
120,0.388553978557086,Baseline_LR
124,-0.10290239008920403,Baseline_LR
125,-0.035210955204375664,Baseline_LR
13,0.24858163245491996,Baseline_LR
130,-0.2745495872591045,Baseline_LR
131,0.36122361033683115,Baseline_LR
132,-0.10836378887775769,Baseline_LR
137,0.19843773138394827,Baseline_LR
139,0.0415210402238239,Baseline_LR
14,0.12270661100258276,Baseline_LR
140,-0.2876171377865882,Baseline_LR
141,0.20168766992014736,Baseline_LR
142,-0.4374918330620051,Baseline_LR
145,-0.21254805987484132,Baseline_LR
146,0.03279533233455544,Baseline_LR
147,-0.3015015429768959,Baseline_LR
148,0.24851882244455173,Baseline_LR
149,0.06025540927178642,Baseline_LR
15,0.13241612469883568,Baseline_LR
150,0.012776618597288172,Baseline_LR
151,0.18081812097607236,Baseline_LR
152,0.01262838474780346,Baseline_LR
153,0.23350364536340598,Baseline_LR
154,0.28519106886125206,Baseline_LR
155,-0.16190784894543495,Baseline_LR
156,-0.23689809893947109,Baseline_LR
157,-0.20484363838485442,Baseline_LR
159,-0.2431562889731671,Baseline_LR
16,0.11104947972041673,Baseline_LR
161,-0.05484367301604251,Baseline_LR
162,0.1432102492938088,Baseline_LR
165,-0.045040700627924146,Baseline_LR
166,-0.07402149611115998,Baseline_LR
167,-0.39594544997503617,Baseline_LR
168,-0.3698279621442059,Baseline_LR
17,0.02504124245230852,Baseline_LR
170,0.39248275291199947,Baseline_LR
171,-0.01883828185810179,Baseline_LR
173,-0.2041845796492855,Baseline_LR
179,0.1083008469927423,Baseline_LR
18,-0.2607683708930854,Baseline_LR
183,0.9169607440976888,Baseline_LR
19,0.22090044381545837,Baseline_LR
197,0.4184588495698194,Baseline_LR
20,-0.19512695246635128,Baseline_LR
204,0.13861295071743382,Baseline_LR
209,0.08218315679163318,Baseline_LR
21,0.010998333548618202,Baseline_LR
211,0.024950070285066604,Baseline_LR
212,-0.4438152687810106,Baseline_LR
213,-0.17577283447989198,Baseline_LR
214,0.005068831124532435,Baseline_LR
215,0.0017823646065619444,Baseline_LR
216,0.16802184862268585,Baseline_LR
217,-0.2939577256691558,Baseline_LR
218,0.046047657395258595,Baseline_LR
219,-0.2667603601319029,Baseline_LR
22,-0.11091886380775955,Baseline_LR
220,-0.13886626560722728,Baseline_LR
23,-0.42447804314499027,Baseline_LR
230,-0.33982771840088905,Baseline_LR
237,0.0430518449917895,Baseline_LR
239,-0.40163570770988527,Baseline_LR
24,0.015364722591057848,Baseline_LR
241,0.1333802021419241,Baseline_LR
244,0.4865070864327062,Baseline_LR
249,-0.36508712187840836,Baseline_LR
25,-0.10655039899678193,Baseline_LR
256,0.312588033715116,Baseline_LR
26,-0.11781970613336577,Baseline_LR
265,-0.20992101886341108,Baseline_LR
267,-0.08574980775372884,Baseline_LR
268,-0.25371940540691573,Baseline_LR
27,-0.19179849398528043,Baseline_LR
273,0.2882376860950813,Baseline_LR
276,0.2689746573004604,Baseline_LR
28,-0.10710071777204785,Baseline_LR
281,-0.4410143507675761,Baseline_LR
29,0.018027068504372263,Baseline_LR
291,0.03684032478764263,Baseline_LR
2in1,-0.4898670649695774,Baseline_LR
30,0.07132246823784415,Baseline_LR
300,0.04526772983628951,Baseline_LR
302,-0.24292952585843644,Baseline_LR
